global_mass,global_volume,global_width,global_length,global_surface_area,global_divide,global_dead,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_antibiotic,cell_porin,external_antibiotic,fluxes_import,time
2450.777130596135,2.227979209632851e-15,1.0,3.1700845678856715,9.173716226330551,0.0,0.0,1341.0,1176271.0,0.001,0.8766891280419485,0.2681060054672336,1e-20,1.000406209527131,0.0,2093.0
2451.485045009003,2.2286227681900034e-15,1.0,3.1709039720899908,9.176290460559162,0.0,0.0,1342.0,1176777.0,0.001,0.8768124389139066,0.26797095574157614,1e-20,1.0004065093523973,0.0,2094.0
2452.1931639050977,2.2292665126409985e-15,1.0,3.171723612981702,9.178865438363143,0.0,0.0,1342.0,1177282.0,0.001,0.8769356264749927,0.2678359340859379,1e-20,1.0004068091775282,0.0,2095.0
2452.901487343485,2.2299104430395322e-15,1.0,3.1725434906291716,9.181441159957277,0.0,0.0,1342.0,1177787.0,0.001,0.8770586908485177,0.2677009405374582,1e-20,1.0004071090025237,0.0,2096.0
2453.610015383247,2.2305545594393162e-15,1.0,3.173363605100789,9.184017625556413,0.0,0.0,1343.0,1178292.0,0.001,0.8771816321576692,0.26756597513322383,1e-20,1.000407408827384,0.0,2097.0
2454.3187480834845,2.2311988618940778e-15,1.0,3.174183956464961,9.186594835375457,0.0,0.0,1343.0,1178798.0,0.001,0.8773044505255115,0.2674310379102698,1e-20,1.000407708652109,0.0,2098.0
2455.0276855033135,2.2318433504575584e-15,1.0,3.1750045447901143,9.18917278962938,0.0,0.0,1344.0,1179303.0,0.001,0.8774271460749861,0.2672961289055789,1e-20,1.0004080084766989,0.0,2099.0
2455.7368277018677,2.2324880251835167e-15,1.0,3.1758253701446963,9.191751488533216,0.0,0.0,1344.0,1179809.0,0.001,0.8775497189289111,0.2671612481560819,1e-20,1.0004083083011535,0.0,2100.0
2456.4461747382984,2.2331328861257265e-15,1.0,3.176646432597173,9.194330932302055,0.0,0.0,1344.0,1180314.0,0.001,0.8776721692099821,0.2670263956986575,1e-20,1.0004086081254728,0.0,2101.0
2457.1557266717737,2.2337779333379767e-15,1.0,3.177467732216031,9.196911121151054,0.0,0.0,1345.0,1180820.0,0.001,0.8777944970407722,0.26689157157013255,1e-20,1.000408907949657,0.0,2102.0
2457.865483561479,2.234423166874072e-15,1.0,3.178289269069777,9.199492055295437,0.0,0.0,1345.0,1181325.0,0.001,0.8779167025437314,0.2667567758072818,1e-20,1.0004092077737061,0.0,2103.0
2458.5754454666157,2.235068586787833e-15,1.0,3.179111043226937,9.202073734950481,0.0,0.0,1345.0,1181831.0,0.001,0.8780387858411877,0.2666220084468282,1e-20,1.00040950759762,0.0,2104.0
2459.285612446404,2.2357141931330946e-15,1.0,3.179933054756056,9.204656160331526,0.0,0.0,1346.0,1182336.0,0.001,0.8781607470553465,0.2664872695254428,1e-20,1.000409807421399,0.0,2105.0
