"agents,0,boundary,mass","agents,0,boundary,volume","agents,0,boundary,width","agents,0,boundary,length","agents,0,boundary,surface_area","agents,0,internal,protein","agents,1,boundary,mass","agents,1,boundary,volume","agents,1,boundary,width","agents,1,boundary,length","agents,1,boundary,surface_area","agents,1,internal,protein","total_global,mass","total_global,volume",time
1402.03271046189,1.273301255666878,1.0,1.95455084440934,5.355004410466661,40398270.18432058,1402.0326757566243,1.2733012241166364,1.0,1.954550804238325,5.3550042842656955,40398269.18432058,2804.0653862185145,2.5466024797835143,46.0
1403.4354626061179,1.2745751913289909,1.0,1.9561728696717906,5.360100153115113,40438689.18432058,1403.4353931955861,1.2745751597787494,1.0,1.9561728295007756,5.360100026914147,40438687.18432058,2806.8708558017042,2.5491503511077402,47.0
1404.839568255718,1.2758504205510162,1.0,1.9577965419458752,5.365201070003215,40479147.18432058,1404.839498845186,1.2758503574505329,1.0,1.9577964616038446,5.365200817601281,40479145.18432058,2809.679067100904,2.551700778001549,48.0
1406.2450968212218,1.277126880232471,1.0,1.9594217808895633,5.370306908729033,40519646.18432058,1406.2450621159555,1.2771268171319872,1.0,1.9594217005475323,5.370306656327099,40519645.18432058,2812.4901589371775,2.554253697364458,49.0
1407.6520135973628,1.278404633473838,1.0,1.9610486668448854,5.375417921694501,40560185.18432058,1407.6520135973628,1.278404601923596,1.0,1.9610486266738696,5.375417795493533,40560185.18432058,2815.3040271947257,2.556809235397434,50.0
1409.060353289408,1.2796836487248753,1.0,1.9626771596408255,5.380533982698651,40600765.18432058,1409.0603879946739,1.2796836487248753,1.0,1.9626771596408255,5.380533982698651,40600766.18432058,2818.120741284082,2.5593672974497506,51.0
1410.4701158973573,1.2809639575358256,1.0,1.9643072994484003,5.3856552179424515,40641386.18432058,1410.470150602623,1.2809639890860671,1.0,1.9643073396194155,5.385655344143418,40641387.18432058,2820.9402664999807,2.5619279466218927,52.0
1411.8813014212099,1.2822455599066884,1.0,1.9659390862676092,5.390781627425904,40682048.18432058,1411.8813361264756,1.2822455914569302,1.0,1.9659391264386246,5.39078175362687,40682049.18432058,2823.7626375476857,2.564491151363619,53.0
1413.2938751557,1.2835284558374636,1.0,1.967572520098452,5.395913211149004,40722750.18432058,1413.293944566232,1.283528487387705,1.0,1.967572560269467,5.3959133373499695,40722752.18432058,2826.587819721932,2.5670569432251686,54.0
1414.7079065113603,1.2848126137779092,1.0,1.969207560769913,5.401049842910787,40763494.18432058,1414.7079412166263,1.2848126768783927,1.0,1.969207641111944,5.401050095312721,40763495.18432058,2829.4158477279866,2.569625290656302,55.0
1416.1232913723925,1.2860980968285094,1.0,1.9708442886240238,5.406191775113187,40804277.18432058,1416.1233260776582,1.2860981283787511,1.0,1.9708443287950392,5.406191901314154,40804278.18432058,2832.2466174500505,2.5721962252072608,56.0
1417.540133854594,1.2873848103385386,1.0,1.972482583147738,5.411338629153303,40845102.18432058,1417.54016855986,1.2873848418887803,1.0,1.9724826233187533,5.4113387553542704,40845103.18432058,2835.080302414454,2.574769652227319,57.0
