internal_porin,internal_AcrAB-TolC,internal_antibiotic,external_antibiotic,fluxes_antibiotic_import,fluxes_antibiotic_export,exchange_antibiotic,global_growth_rate,global_mass,global_volume,global_mmol_to_counts,global_prior_mass,global_density,time
1.0,1.0,0.05362171130624414,0.9347873097539524,6.090798876383817e-05,1.639506351008242e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1016.0
1.0,1.0,0.053666210374200635,0.9347341725038029,6.090663532420084e-05,1.6407567367700406e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1017.0
1.0,1.0,0.053710695590360895,0.9346810352536533,6.090528179084295e-05,1.6420065630584956e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1018.0
1.0,1.0,0.05375516696022243,0.9346278980035038,6.0903928163754794e-05,1.6432558302218138e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1019.0
1.0,1.0,0.053799624489279274,0.9345747607533542,6.090257444292662e-05,1.644504538607896e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1020.0
1.0,1.0,0.05384406818302198,0.9345216235032047,6.0901220628348685e-05,1.6457526885643373e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1021.0
1.0,1.0,0.05388849804693761,0.9344684862530551,6.089986672001127e-05,1.6470002804384278e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1022.0
1.0,1.0,0.05393291408650974,0.9344153490029056,6.08985127179046e-05,1.648247314577152e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1023.0
1.0,1.0,0.05397731630721849,0.934362211752756,6.089715862201899e-05,1.6494937913271908e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1024.0
1.0,1.0,0.054021704714540486,0.9343090745026065,6.089580443234464e-05,1.6507397110349195e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1025.0
1.0,1.0,0.05406607931394889,0.9342559372524569,6.0894450148871835e-05,1.6519850740464104e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1026.0
1.0,1.0,0.054110440110913406,0.9342028000023074,6.089309577159082e-05,1.653229880707433e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1027.0
1.0,1.0,0.054154787110900264,0.9341496627521578,6.089174130049185e-05,1.654474131363451e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1028.0
1.0,1.0,0.05419912031937223,0.9340965255020083,6.089038673556519e-05,1.6557178263596285e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1029.0
